account_type,hour,dow,stage,alpha,n,ter
human,5,0,global,0.01,35020,0.3883495145631068
human,5,0,global,0.005,35020,0.4340376927470017
human,5,0,global,0.001,35020,0.9137635636778983
human,5,0,stratified,0.05,35020,0.9714448886350657
human,5,0,stratified,0.01,35020,0.9565962307252998
human,5,0,stratified,0.005,35020,0.9651627641347801
human,5,0,stratified,0.001,35020,1.7133066818960592
human,5,1,global,0.05,35495,0.6254402028454711
human,5,1,global,0.01,35495,0.571911536836174
human,5,1,global,0.005,35495,0.6536131849556276
human,5,1,global,0.001,35495,0.9578813917453163
human,5,1,stratified,0.05,35495,1.360191576278349
human,5,1,stratified,0.01,35495,1.3044090717002395
human,5,1,stratified,0.005,35495,1.493168051838287
human,5,1,stratified,0.001,35495,1.7748978729398506
human,5,2,global,0.05,29513,0.6166773964015857
human,5,2,global,0.01,29513,0.4506488666011588
human,5,2,global,0.005,29513,0.5285806254870735
human,5,2,global,0.001,29513,0.27106698742926844
human,5,2,stratified,0.05,29513,1.6745163148443059
human,5,2,stratified,0.01,29513,1.7653237556331107
human,5,2,stratified,0.005,29513,1.7212753701758547
human,5,2,stratified,0.001,29513,0.2371836140006099
human,5,3,global,0.05,26076,0.29835864396379813
human,5,3,global,0.01,26076,0.21475686454977758
human,5,3,global,0.005,26076,0.24543641662831722
human,5,3,global,0.001,26076,0.268446080687222
human,5,3,stratified,0.05,26076,0.8022702868538119
human,5,3,stratified,0.01,26076,0.7554839699340389
human,5,3,stratified,0.005,26076,0.8283479061205706
human,5,3,stratified,0.001,26076,0.9587360024543641
human,5,4,global,0.05,26003,0.3038110987193785
human,5,4,global,0.01,26003,0.20766834596008155
human,5,4,global,0.005,26003,0.2845825481675191
human,5,4,global,0.001,26003,0.6537707187632197
human,5,4,stratified,0.05,26003,0.7499134715225166
human,5,4,stratified,0.01,26003,0.7229935007499134
human,5,4,stratified,0.005,26003,0.7922162827366073
human,5,4,stratified,0.001,26003,0.38457101103718805
human,5,5,global,0.05,26054,0.4260382282950795
human,5,5,global,0.01,26054,0.46058186842711296
human,5,5,global,0.005,26054,0.606432793429032
human,5,5,global,0.001,26054,1.1898364934367085
human,5,5,stratified,0.05,26054,0.8275120902740463
human,5,5,stratified,0.01,26054,0.8827819144852999
